iter	Passed	Remaining
0	162	162038
1	166	82870
2	169	56410
3	174	43466
4	178	35433
5	180	29830
6	182	25870
7	184	22853
8	186	20558
9	188	18684
10	193	17373
11	195	16106
12	197	15008
13	199	14062
14	201	13239
15	203	12521
16	208	12077
17	210	11506
18	212	10993
19	214	10526
20	216	10108
21	220	9822
22	223	9509
23	224	9147
24	225	8807
25	226	8492
26	227	8201
27	228	7931
28	229	7679
29	230	7444
30	231	7224
31	232	7018
32	232	6823
33	235	6692
34	236	6523
35	237	6358
36	238	6202
37	239	6053
38	239	5911
39	240	5775
40	241	5645
41	242	5522
42	242	5404
43	243	5292
44	244	5185
45	245	5083
46	245	4984
47	246	4890
48	247	4800
49	249	4733
50	250	4653
51	250	4572
52	251	4497
53	252	4421
54	253	4349
55	253	4280
56	254	4213
57	255	4148
58	256	4085
59	256	4025
60	257	3965
61	258	3908
62	259	3853
63	259	3800
64	261	3764
65	263	3728
66	264	3683
67	265	3640
68	266	3599
69	267	3558
70	268	3518
71	269	3478
72	270	3438
73	271	3400
74	272	3362
75	273	3325
76	274	3288
77	276	3263
78	277	3238
79	279	3208
80	280	3177
81	281	3147
82	281	3111
83	282	3082
84	283	3054
85	284	3027
86	285	2999
87	286	2971
88	287	2944
89	288	2917
90	289	2890
91	292	2887
92	293	2863
93	294	2836
94	295	2811
95	295	2785
96	296	2760
97	297	2736
98	297	2712
99	298	2688
100	299	2665
101	300	2643
102	300	2621
103	301	2599
104	302	2578
105	303	2557
106	303	2536
107	307	2536
108	308	2520
109	309	2501
110	309	2482
111	310	2463
112	311	2444
113	312	2426
114	312	2408
115	313	2390
116	314	2372
117	315	2355
118	315	2338
119	316	2321
120	317	2305
121	318	2288
122	318	2273
123	322	2278
124	323	2264
125	324	2249
126	324	2233
127	325	2218
128	326	2203
129	327	2189
130	327	2174
131	328	2160
132	329	2146
133	330	2133
134	330	2120
135	331	2106
136	332	2093
137	333	2080
138	333	2067
139	338	2077
140	339	2065
141	339	2051
142	340	2040
143	341	2028
144	341	2016
145	342	2004
146	343	1993
147	344	1981
148	344	1969
149	345	1958
150	346	1947
151	347	1936
152	347	1925
153	348	1915
154	349	1904
155	350	1895
156	351	1886
157	354	1889
158	355	1880
159	356	1872
160	357	1861
161	358	1852
162	359	1845
163	360	1835
164	360	1825
165	361	1816
166	362	1807
167	363	1797
168	363	1789
169	368	1800
170	369	1792
171	370	1783
172	371	1775
173	372	1766
174	372	1757
175	373	1749
176	374	1740
177	375	1731
178	375	1723
179	376	1715
180	377	1707
181	378	1700
182	379	1692
183	381	1691
184	382	1686
185	383	1678
186	384	1671
187	385	1663
188	385	1655
189	386	1648
190	387	1640
191	388	1633
192	388	1625
193	389	1618
194	390	1611
195	391	1604
196	391	1596
197	392	1589
198	393	1582
199	394	1576
200	396	1577
201	397	1571
202	398	1564
203	399	1557
204	399	1551
205	400	1544
206	401	1537
207	402	1531
208	402	1524
209	403	1518
210	404	1511
211	405	1505
212	405	1499
213	406	1493
214	407	1486
215	408	1481
216	408	1475
217	411	1474
218	412	1471
219	413	1465
220	414	1459
221	414	1453
222	415	1448
223	416	1442
224	417	1436
225	417	1431
226	418	1425
227	419	1419
228	420	1414
229	420	1409
230	421	1403
231	422	1398
232	423	1392
233	425	1392
234	426	1389
235	427	1385
236	428	1380
237	429	1375
238	430	1370
239	431	1366
240	432	1362
241	433	1357
242	434	1353
243	435	1348
244	436	1343
245	436	1338
246	437	1333
247	438	1328
248	438	1323
249	441	1323
250	442	1320
251	443	1315
252	443	1310
253	444	1305
254	445	1301
255	446	1296
256	446	1291
257	447	1286
258	448	1282
259	448	1277
260	449	1273
261	450	1268
262	451	1264
263	451	1259
264	452	1255
265	453	1251
266	455	1251
267	457	1248
268	458	1245
269	459	1241
270	460	1237
271	461	1234
272	462	1230
273	463	1226
274	463	1222
275	464	1218
276	465	1215
277	466	1211
278	467	1207
279	467	1203
280	470	1203
281	471	1200
282	478	1212
283	507	1279
284	509	1277
285	510	1275
286	513	1275
287	515	1273
288	520	1280
289	522	1278
290	523	1275
291	524	1272
292	526	1269
293	527	1267
294	529	1264
295	532	1267
296	534	1264
297	535	1261
298	536	1258
299	553	1290
300	554	1287
301	555	1284
302	556	1280
303	557	1276
304	558	1272
305	559	1269
306	560	1265
307	563	1265
308	564	1263
309	566	1260
310	567	1256
311	567	1252
312	568	1248
313	569	1244
314	570	1241
315	571	1237
316	572	1233
317	573	1229
318	573	1225
319	574	1221
320	575	1217
321	576	1213
322	578	1213
323	580	1210
324	581	1206
325	582	1203
326	583	1200
327	584	1196
328	585	1193
329	586	1189
330	586	1186
331	587	1182
332	588	1178
333	589	1175
334	590	1171
335	590	1167
336	594	1168
337	595	1165
338	595	1162
339	596	1158
340	597	1154
341	598	1150
342	598	1147
343	599	1143
344	600	1139
345	601	1136
346	601	1132
347	602	1128
348	603	1124
349	603	1121
350	604	1117
351	605	1114
352	607	1113
353	608	1111
354	609	1108
355	610	1104
356	611	1101
357	612	1098
358	613	1095
359	614	1092
360	615	1089
361	616	1086
362	617	1083
363	618	1080
364	619	1077
365	620	1074
366	622	1073
367	623	1071
368	624	1068
369	625	1065
370	626	1062
371	627	1059
372	628	1056
373	629	1053
374	630	1050
375	630	1047
376	631	1044
377	632	1041
378	633	1038
379	634	1034
380	635	1032
381	637	1031
382	638	1029
383	639	1026
384	640	1023
385	641	1020
386	642	1017
387	643	1014
388	644	1011
389	645	1009
390	646	1006
391	646	1003
392	647	1000
393	648	997
394	649	995
